time,open,high,low,close
2026-03-20 15:14:00,122.1985,123.5805,122.1335,123.0205
2026-03-20 15:15:00,122.9535,123.8755,122.5345,123.5595
2026-03-20 15:16:00,123.6155,124.3785,123.2415,124.1325
2026-03-20 15:17:00,124.1955,124.3915,122.2155,122.5225
2026-03-20 15:18:00,122.5845,123.3835,121.5885,121.6515
2026-03-20 15:19:00,121.5915,121.7195,120.5775,121.4625
2026-03-20 15:20:00,121.5265,121.9295,120.1785,120.4945
2026-03-20 15:21:00,120.4315,120.5975,119.0785,119.3005
2026-03-20 15:22:00,119.3645,119.9465,118.9045,119.7475
2026-03-20 15:23:00,119.6805,119.9075,118.9345,119.5955
2026-03-20 15:24:00,119.6495,120.2895,118.4325,118.9185
2026-03-20 15:25:00,118.9835,119.2015,117.7915,118.9055
2026-03-20 15:26:00,118.8485,120.8905,118.4205,120.8905
2026-03-20 15:27:00,120.9555,122.8045,120.8985,122.4535
2026-03-20 15:28:00,122.5195,123.0005,122.1425,122.3495
2026-03-20 15:29:00,122.4055,123.2335,122.0005,122.4135
2026-03-20 15:30:00,122.3515,122.8515,121.6375,121.9545
2026-03-20 15:31:00,122.0165,122.6445,120.7705,120.9005
2026-03-20 15:32:00,120.8405,121.4615,120.3145,121.1345
2026-03-20 15:33:00,121.0715,121.6055,120.4695,121.1765
2026-03-20 15:34:00,121.1255,122.3945,120.9225,121.7485
2026-03-20 15:35:00,121.8135,123.2585,121.7665,123.1305
2026-03-20 15:36:00,123.1865,123.4815,122.1115,122.8045
2026-03-20 15:37:00,122.8635,123.4045,122.6815,123.2865
2026-03-20 15:38:00,123.1765,124.3555,123.1765,123.5525
2026-03-20 15:39:00,123.6155,125.1305,123.4365,125.0785
2026-03-20 15:40:00,125.0225,125.4145,123.3295,123.3315
2026-03-20 15:41:00,123.2635,123.6475,122.1205,122.1725
2026-03-20 15:42:00,122.2365,122.5535,121.3095,122.5535
2026-03-20 15:43:00,122.4075,122.7445,121.8405,122.0635
2026-03-20 15:44:00,122.1485,123.2295,122.1065,123.0895
2026-03-20 15:45:00,123.1535,123.8935,122.8535,123.7145
2026-03-20 15:46:00,123.7765,124.8475,123.3695,124.3395
2026-03-20 15:47:00,124.2735,125.4635,123.7015,124.5545
2026-03-20 15:48:00,124.6185,124.8225,123.9015,124.7535
2026-03-20 15:49:00,124.8225,125.7185,123.8545,124.9655
2026-03-20 15:50:00,124.9115,126.0805,123.8765,125.8055
2026-03-20 15:51:00,125.7365,125.7365,124.4985,125.0395
2026-03-20 15:52:00,125.1045,125.4375,123.7855,124.2165
2026-03-20 15:53:00,124.3835,124.4515,123.3105,123.7735
2026-03-20 15:54:00,123.7095,125.2775,123.3085,125.2115
2026-03-20 15:55:00,125.1505,126.3735,124.5395,124.5395
2026-03-20 15:56:00,124.4835,124.7505,123.9445,124.2575
2026-03-20 15:57:00,124.3205,124.7835,123.8745,124.0735
2026-03-20 15:58:00,124.1285,124.1285,122.6865,123.7635
2026-03-20 15:59:00,123.8155,126.1035,123.7505,126.0045
2026-03-20 16:00:00,125.9455,126.3675,125.1225,125.8705
2026-03-20 16:01:00,125.8145,127.3545,125.3755,126.4785
2026-03-20 16:02:00,126.5395,127.0445,125.9315,126.8295
2026-03-20 16:03:00,126.7765,127.0695,126.0845,126.7185
2026-03-20 16:04:00,126.7835,127.4475,126.5555,127.2315
2026-03-20 16:05:00,127.1755,127.8475,126.3765,126.3765
2026-03-20 16:06:00,126.3075,126.3765,124.2635,124.8505
2026-03-20 16:07:00,124.9035,125.4845,124.3005,125.2835
2026-03-20 16:08:00,125.2175,125.8755,124.4545,124.7355
2026-03-20 16:09:00,124.6705,125.1785,124.2105,125.1785
2026-03-20 16:10:00,125.1115,125.1685,123.2605,123.8185
2026-03-20 16:11:00,123.7515,125.8185,123.7515,125.2705
2026-03-20 16:12:00,125.2125,126.0285,124.9455,125.6255
2026-03-20 16:13:00,125.6925,125.9795,123.9295,125.9795
2026-03-20 16:14:00,125.9185,126.7325,125.6455,126.3965
2026-03-20 16:15:00,126.3345,126.3965,124.9495,125.9245
2026-03-20 16:16:00,125.8715,126.4045,124.5395,124.5395
2026-03-20 16:17:00,124.4855,125.7715,124.4835,125.4285
2026-03-20 16:18:00,125.4925,125.7495,123.3605,124.2515
2026-03-20 16:19:00,124.1965,125.0185,124.0795,124.2305
2026-03-20 16:20:00,124.1635,124.5025,123.1065,123.5325
2026-03-20 16:21:00,123.5955,124.5485,123.1095,123.1095
2026-03-20 16:22:00,123.0435,123.9975,122.8205,123.3995
2026-03-20 16:23:00,123.4545,123.7295,123.0055,123.1235
2026-03-20 16:24:00,123.0555,123.9975,122.6725,122.6725
2026-03-20 16:25:00,122.6045,122.6585,121.0815,121.3685
2026-03-20 16:26:00,121.4245,122.2685,120.9145,121.5065
2026-03-20 16:27:00,121.5695,121.5795,119.5435,119.7195
2026-03-20 16:28:00,119.8525,120.0665,118.7975,119.3035
2026-03-20 16:29:00,119.2415,120.2025,118.8955,119.3565
2026-03-20 16:30:00,119.2905,120.4145,119.2495,119.4915
2026-03-20 16:31:00,119.5445,119.8585,118.2175,118.7355
2026-03-20 16:32:00,118.7925,119.1225,118.0005,118.4915
2026-03-20 16:33:00,118.4415,118.9165,117.9405,118.4345
2026-03-20 16:34:00,118.3795,119.3095,118.2525,118.5555
2026-03-20 16:35:00,118.6085,118.9845,117.7955,118.9845
2026-03-20 16:36:00,118.9195,119.0945,117.5425,118.0095
2026-03-20 16:37:00,118.0725,118.0725,116.7285,117.3275
2026-03-20 16:38:00,117.2675,117.6155,116.4195,116.4195
2026-03-20 16:39:00,116.4775,117.7995,116.2515,116.8535
2026-03-20 16:40:00,116.7965,117.2955,116.3115,116.7715
2026-03-20 16:41:00,116.7215,117.8385,116.3035,117.7765
2026-03-20 16:42:00,117.8275,117.9335,116.3865,116.3865
2026-03-20 16:43:00,116.4355,116.5655,113.7725,114.2755
2026-03-20 16:44:00,114.2265,115.9935,113.7185,115.9835
2026-03-20 16:45:00,116.0455,117.3925,116.0425,117.3295
2026-03-20 16:46:00,117.2695,118.1825,117.2135,117.7995
2026-03-20 16:47:00,117.7415,118.8075,117.1485,118.5645
2026-03-20 16:48:00,118.6185,119.8455,118.1615,119.6275
2026-03-20 16:49:00,119.6875,120.1835,119.2445,119.5045
2026-03-20 16:50:00,119.5555,120.2965,119.4545,120.0405
2026-03-20 16:51:00,120.1635,121.2315,119.9915,120.8845
2026-03-20 16:52:00,120.9495,121.0135,120.0605,120.6055
2026-03-20 16:53:00,120.6685,121.4585,120.4225,121.4585
2026-03-20 16:54:00,121.4065,121.5985,120.5155,120.9035
2026-03-20 16:55:00,120.8455,121.4065,120.4685,121.3065
2026-03-20 16:56:00,121.2495,121.2495,119.8905,120.5475
2026-03-20 16:57:00,120.4815,121.1055,119.6355,119.6355
2026-03-20 16:58:00,119.5745,120.2855,118.2205,119.1155
2026-03-20 16:59:00,119.0495,119.2875,117.3655,117.4295
2026-03-20 17:00:00,117.3715,118.1655,116.1465,118.0585
2026-03-20 17:01:00,117.9995,119.0675,117.5365,118.7135
2026-03-20 17:02:00,118.6605,118.9745,117.9775,118.9065
2026-03-20 17:03:00,118.7315,118.9445,117.5455,118.3805
2026-03-20 17:04:00,118.3215,118.4115,116.8065,117.9315
2026-03-20 17:05:00,117.8755,119.9955,117.7775,118.7255
2026-03-20 17:06:00,118.7765,120.1445,118.6625,118.9715
2026-03-20 17:07:00,119.0255,120.8715,119.0255,119.7975
2026-03-20 17:08:00,119.7435,120.4955,119.0685,119.0685
2026-03-20 17:09:00,119.0055,119.3735,118.4595,119.1825
2026-03-20 17:10:00,119.2385,120.3265,119.1765,119.2125
2026-03-20 17:11:00,119.1525,120.7555,118.8035,119.9945
2026-03-20 17:12:00,119.9435,120.9875,119.7645,120.9115
2026-03-20 17:13:00,120.9755,122.4135,120.9105,122.4095
2026-03-20 17:14:00,122.4695,122.7375,121.2565,121.5225
2026-03-20 17:15:00,121.4695,121.6775,120.3715,120.4375
2026-03-20 17:16:00,120.3715,120.7375,119.8305,120.0425
2026-03-20 17:17:00,120.0935,120.2475,119.0135,119.2295
2026-03-20 17:18:00,119.1735,119.1785,117.8925,117.9515
2026-03-20 17:19:00,117.8895,118.9205,117.3215,117.5295
2026-03-20 17:20:00,117.4665,118.9105,117.4475,118.2415
2026-03-20 17:21:00,118.3045,118.5745,117.2915,118.4035
2026-03-20 17:22:00,118.3475,119.2145,118.1285,118.5555
2026-03-20 17:23:00,118.6065,119.0585,117.9445,118.0595
2026-03-20 17:24:00,117.9995,118.1365,116.8385,116.9195
2026-03-20 17:25:00,116.8555,116.8955,115.3235,115.3755
2026-03-20 17:26:00,115.4325,115.5865,113.5275,113.6575
2026-03-20 17:27:00,113.7055,113.9965,112.4925,112.8095
2026-03-20 17:28:00,112.7475,112.9595,112.0905,112.3425
2026-03-20 17:29:00,112.2925,113.8715,112.0685,113.8105
2026-03-20 17:30:00,113.6875,114.0025,112.5175,112.5235
2026-03-20 17:31:00,112.4655,113.7575,112.1365,113.5195
2026-03-20 17:32:00,113.4585,113.5895,112.6115,113.0355
2026-03-20 17:33:00,112.9725,112.9725,111.4695,112.7355
2026-03-20 17:34:00,112.6875,113.6915,112.0545,113.6425
2026-03-20 17:35:00,113.5925,114.0335,112.6885,113.2595
2026-03-20 17:36:00,113.3095,114.0935,112.6845,114.0335
2026-03-20 17:37:00,113.9805,115.2705,113.4215,115.2395
2026-03-20 17:38:00,115.2945,115.6085,113.9165,114.0955
2026-03-20 17:39:00,114.0455,115.4755,113.9895,114.5475
2026-03-20 17:40:00,114.6035,115.7305,114.1585,115.7305
