iter	Logloss
0	0.6864479901
1	0.6787454307
2	0.6727408531
3	0.6664619919
4	0.6632812291
5	0.6602923291
6	0.6564316991
7	0.6503207697
8	0.6464848144
9	0.6417542787
10	0.6357989543
11	0.6298900616
12	0.6247129375
13	0.6183386937
14	0.6146106363
15	0.6118225746
16	0.6076217795
17	0.6002842071
18	0.596087867
19	0.592376058
20	0.5841591399
21	0.5830340089
22	0.5749734737
23	0.5716526134
24	0.5669368835
25	0.5629210077
26	0.5582857882
27	0.5514205697
28	0.5482101809
29	0.5448180657
30	0.5416244964
31	0.5384376665
32	0.5356855771
33	0.5303373542
34	0.5280253227
35	0.5263673301
36	0.5229154641
37	0.51988887
38	0.516852048
39	0.5150924839
40	0.5116994219
41	0.5068889089
42	0.5017627622
43	0.4985698378
44	0.4960595589
45	0.4928103375
46	0.4904066877
47	0.4853831796
48	0.4837527683
49	0.4810681603
50	0.4785559759
51	0.4762302247
52	0.4734206284
53	0.4691820329
54	0.4654625906
55	0.4611794825
56	0.4573368961
57	0.4560847472
58	0.4531114839
59	0.451012516
60	0.4477290495
61	0.4449909517
62	0.4374013075
63	0.4354652295
64	0.4323318102
65	0.4296903665
66	0.4268154213
67	0.4220234418
68	0.4190346377
69	0.4168249555
70	0.4139165834
71	0.4101387276
72	0.4069668245
73	0.4035490576
74	0.4003622847
75	0.398296436
76	0.396574779
77	0.3920779965
