iter	Passed	Remaining
0	1	547
1	4	615
2	6	620
3	8	608
4	10	615
5	12	604
6	14	591
7	16	589
8	17	579
9	19	570
10	21	568
11	23	565
12	25	558
13	27	570
14	29	568
15	31	565
16	33	561
17	35	558
18	37	553
19	39	550
20	41	549
21	43	546
22	45	542
23	46	539
24	48	537
25	50	535
26	52	535
27	54	532
28	56	529
29	58	526
30	60	525
31	62	522
32	64	519
33	66	516
34	67	513
35	69	510
36	71	506
37	73	506
38	75	503
39	77	500
40	79	499
41	80	496
42	82	493
43	84	490
44	86	490
45	88	487
46	90	488
47	92	487
48	94	484
49	96	482
50	98	479
51	100	477
52	101	474
53	103	471
54	105	468
55	106	466
56	108	463
57	110	461
58	112	458
59	114	456
60	116	454
61	118	454
62	120	451
63	121	448
64	123	447
65	125	445
66	127	443
67	129	441
68	131	439
69	133	437
70	134	435
71	136	432
72	138	430
73	140	428
74	142	427
75	144	424
76	145	422
77	148	421
